name	gender	age	country	registered
user_000003	m	22	United States	Oct 30, 2005
user_000004	f			Apr 26, 2006
user_000006		24	Russian Federation	May 18, 2006
user_000009	f	19	United States	Jan 13, 2007
user_000016	m		United Kingdom	Aug 5, 2005
user_000019	f	29	Mexico	Nov 10, 2005
user_000020	f	27	Germany	Jul 24, 2006
user_000022	m	38	United Kingdom	May 14, 2006
user_000025		19	Sweden	Nov 10, 2005
user_000029	m		United States	Feb 13, 2006
user_000030				
user_000031		38	United States	Aug 3, 2006
user_000032	m	23	Italy	Feb 28, 2005
user_000033	f	20	Poland	Dec 23, 2005
user_000034	f	35	Brazil	Sep 15, 2005
user_000040	f	21	Germany	Apr 21, 2006
user_000041	m	30	Sweden	Jun 14, 2005
user_000043	f	26	United States	Mar 18, 2006
user_000045	m	29	Chile	Jul 9, 2006
user_000048	m	33	Italy	Dec 29, 2006
